"","w_delta11_mu","z_delta11_mu","w_delta18_mu","z_delta18_mu"
"211",0.652187,-0.958426,-0.322987,0.468411
"212",1.05696,-1.78395,0.00398633,-0.133414
"213",1.24592,-1.07635,0.213236,0.0444367
"214",1.47975,-2.02091,0.230133,-0.0248927
"215",1.29116,-1.86294,0.313806,0.151638
"216",0.964375,-1.63278,0.249459,-0.410455
"217",1.66002,-2.65502,-0.363475,0.774403
"218",1.91688,-2.85502,-0.279452,0.559229
"219",1.06256,-1.57974,0.251465,0.103
"220",1.33918,-1.74856,-0.132406,-0.127466
"221",1.30408,-1.98899,0.473638,0.11657
"222",0.757232,-0.699894,-0.066552,-0.54774
"223",1.06847,-1.83721,0.256578,0.0447358
"224",1.59438,-1.82388,-0.0991291,0.346703
"225",0.65145,-1.29626,0.0355603,0.386177
"226",0.877766,-2.50954,0.326573,-0.224244
"227",1.23419,-1.44196,0.00879775,-0.0608781
"228",1.01434,-0.669576,0.145654,0.071113
"229",1.30768,-2.19803,-0.293955,0.202299
"230",1.08973,-1.66224,0.420346,-0.391523
"231",0.466702,-0.385948,0.395604,-0.633534
"232",2.26276,-3.44527,0.0628424,0.126818
"233",0.985293,-1.55042,0.0447692,-0.0615496
"234",1.11559,-1.59177,0.12883,-0.126097
"235",1.13786,-1.84097,-0.281281,1.03455
"236",0.965924,-1.26083,0.278686,0.0090407
"237",0.871369,-1.39937,-0.121464,-0.157734
"238",1.29809,-1.78474,0.340541,0.192096
"239",1.40577,-1.94803,0.184681,-0.159991
"240",0.943551,-2.14046,0.146018,0.0308758
"241",2.31899,-4.29679,0.136156,-0.263283
"242",2.2516,-4.16802,0.313333,-0.160199
"243",1.88255,-2.98568,0.17582,-0.13322
"244",1.6206,-2.59402,0.0663316,-0.129676
"245",1.31363,-1.70823,0.223774,-0.070814
"246",1.16991,-2.51775,0.181836,0.0863382
"247",1.4357,-1.02281,-0.192273,0.384611
"248",0.93243,-1.562,0.291674,-0.127112
"249",1.4145,-1.38595,-0.0641857,0.191062
