"","Rat","CatLH","PR","Local.Rate_mu","Local.Rate_sigma","Bn_predictions_mu","Bn_predictions_sigma","RatLabel"
"100",5,1,72,0.700007745,0.151914387917914,0.632011448793584,0,"Rat #5"
"101",5,1,75,0.6869075298,0.128161730171124,0.611959583904688,0,"Rat #5"
"102",5,1,78,0.7927780356,0.150687294395514,0.593004074109207,0,"Rat #5"
"103",5,1,81,0.71319834475,0.272035281890502,0.575073150908125,0,"Rat #5"
"104",5,1,84,0.63136770925,0.182632419603579,0.558098547301648,0,"Rat #5"
"105",5,1,87,0.761804780333333,0.12536941107029,0.542015933565932,0,"Rat #5"
"106",5,1,90,0.243420875,NA,0.526765089798949,NA,"Rat #5"
"107",5,11,3,1.2338881802,0.742360727199104,0.278878996425578,0,"Rat #5"
"108",5,11,6,0.7840153852,0.155204349177209,0.519986915437565,0,"Rat #5"
"109",5,11,9,0.7542632992,0.22156972718371,0.722110284176465,0,"Rat #5"
"110",5,11,12,0.8352060746,0.255374134288739,0.886819079342841,0,"Rat #5"
"111",5,11,15,1.29983903,0.835375778791704,1.01744117185826,0,"Rat #5"
"112",5,11,18,0.9351310678,0.151481091515619,1.11818287597534,0,"Rat #5"
"113",5,11,21,0.852088648,0.0659787140326117,1.19348395399686,0,"Rat #5"
"114",5,11,24,0.9883759318,0.119634806720952,1.24760464315352,0,"Rat #5"
"115",5,11,27,1.1065222924,0.0969095426402542,1.28439916679998,0,"Rat #5"
"116",5,11,30,1.1473976498,0.0373416287795165,1.3072202251614,0,"Rat #5"
"117",5,11,33,1.123009989,0.164407736434151,1.31890581007211,0,"Rat #5"
"118",5,11,36,1.149685465,0.145687245394375,1.3218120399094,0,"Rat #5"
"119",5,11,39,1.2187131006,0.120487065942746,1.31786768825704,0,"Rat #5"
"120",5,11,42,1.2004744876,0.0620150296803183,1.30863549244902,0,"Rat #5"
"121",5,11,45,1.159326886,0.16724518868502,1.29537190484418,0,"Rat #5"
"122",5,11,48,1.1749368106,0.165136421162362,1.27908117961323,0,"Rat #5"
"123",5,11,51,1.1814071834,0.180903853655948,1.26056222283227,0,"Rat #5"
"124",5,11,54,1.1464629376,0.13554559630108,1.24044804414889,0,"Rat #5"
"125",5,11,57,1.2639492726,0.313884511494464,1.21923835852692,0,"Rat #5"
"126",5,11,60,1.1398256418,0.23610745866896,1.19732618472339,0,"Rat #5"
"127",5,11,63,1.0945749054,0.240776777622169,1.17501935712733,0,"Rat #5"
"128",5,11,66,1.2248109242,0.197856358863582,1.15255782116343,0,"Rat #5"
"129",5,11,69,1.2418037594,0.149888362154772,1.1301274845215,0,"Rat #5"
"130",5,11,72,1.2745946928,0.317765343161201,1.10787128280931,0,"Rat #5"
"131",5,11,75,1.1315845414,0.131656187319625,1.08589800726962,0,"Rat #5"
"132",5,11,78,1.3136432062,0.260434085710442,1.06428934239548,0,"Rat #5"
"133",5,11,81,1.2563123848,0.194916331960993,1.04310547556967,0,"Rat #5"
"134",5,11,84,1.0465503212,0.15089978564715,1.0223895693445,0,"Rat #5"
"135",5,11,87,1.1512173972,0.0770609952018825,1.00217132842648,0,"Rat #5"
"136",5,11,90,1.1007348454,0.211729383062069,0.982469846090741,0,"Rat #5"
"137",5,11,93,0.936955878,0.223967915360267,0.963295876798161,0,"Rat #5"
"138",5,11,96,0.9755609634,0.288506136725052,0.944653651535588,0,"Rat #5"
"139",5,11,99,1.008137687,0.20308453908756,0.926542328372379,0,"Rat #5"
"140",5,11,102,0.9577308202,0.269532502800787,0.908957151685181,0,"Rat #5"
"141",5,11,105,0.9064466614,0.340547397039184,0.891890378430343,0,"Rat #5"
"142",5,11,108,1.15628504633333,0.346246689041707,0.875332017915743,0,"Rat #5"
"143",5,11,111,0.965859951,0.221946631224,0.859270422082368,0,"Rat #5"
"144",5,11,114,0.6795564295,0.006845529740045,0.843692755826818,0,"Rat #5"
"145",5,18,3,0.7497227572,0.363296225969493,0.259350098724434,0,"Rat #5"
"146",5,18,6,0.7151854526,0.109306618264231,0.482066699424892,0,"Rat #5"
"147",5,18,9,0.5409138462,0.204604209016143,0.668914769048786,0,"Rat #5"
"148",5,18,12,1.0415660932,0.613172546968578,0.822366671535775,0,"Rat #5"
"149",5,18,15,0.717300374,0.143041415981859,0.945858027534546,0,"Rat #5"
"150",5,18,18,0.7972269488,0.078873579381167,1.04321300194714,0,"Rat #5"
"151",5,18,21,0.9790675718,0.163552438561567,1.11825021028584,0,"Rat #5"
"152",5,18,24,1.1570146228,0.350103447836569,1.17454319516198,0,"Rat #5"
"153",5,18,27,0.9496874664,0.207549910969962,1.21529674468784,0,"Rat #5"
"154",5,18,30,1.0854629386,0.0895054214897796,1.24330171047653,0,"Rat #5"
"155",5,18,33,1.0073633174,0.109118130867808,1.26093827780074,0,"Rat #5"
"156",5,18,36,1.0649739392,0.102134121679173,1.27020603402014,0,"Rat #5"
"157",5,18,39,1.1560193784,0.133458277947995,1.27276646496487,0,"Rat #5"
"158",5,18,42,1.1393945298,0.113071510247579,1.26998902247449,0,"Rat #5"
"159",5,18,45,1.0294825218,0.239214864146204,1.26299573237696,0,"Rat #5"
"160",5,18,48,1.0913748262,0.215272610999699,1.25270179795121,0,"Rat #5"
"161",5,18,51,1.0117603858,0.302494906318254,1.23985117646074,0,"Rat #5"
"162",5,18,54,1.300215519,0.160640828369202,1.22504698159433,0,"Rat #5"
"163",5,18,57,1.1258701952,0.123962378437723,1.20877702702888,0,"Rat #5"
"164",5,18,60,1.2247886882,0.172600664490788,1.191435037511,0,"Rat #5"
"165",5,18,63,1.3178670604,0.113456539598159,1.17333811973207,0,"Rat #5"
"166",5,18,66,1.331159727,0.143319235640075,1.15474107239828,0,"Rat #5"
"167",5,18,69,1.334946918,0.129981790574902,1.13584806353155,0,"Rat #5"
"168",5,18,72,1.1612268326,0.135011472736284,1.11682213655837,0,"Rat #5"
"169",5,18,75,1.151734353,0.283527675137211,1.09779293803917,0,"Rat #5"
"170",5,18,78,1.1197879112,0.467111598718962,1.07886299553118,0,"Rat #5"
"171",5,18,81,1.2661797818,0.365943657798293,1.06011281695387,0,"Rat #5"
"172",5,18,84,1.034721752,0.27967072485351,1.04160503377523,0,"Rat #5"
"173",5,18,87,1.32416269775,0.190203360555973,1.02338776911767,0,"Rat #5"
"174",5,18,90,1.10518341,0.34344992734154,1.00549737774747,0,"Rat #5"
"175",5,18,93,1.034093063,0.365936480346125,0.987960676924305,0,"Rat #5"
"176",5,18,96,1.236840754,0.37304014118909,0.970796764299689,0,"Rat #5"
"177",5,18,99,0.95404433425,0.208027960069752,0.954018500585079,0,"Rat #5"
"178",5,18,102,1.18048831633333,0.332397811303645,0.937633719789632,0,"Rat #5"
"179",5,18,105,1.175052878,0.480654345988389,0.921646217795171,0,"Rat #5"
"180",5,18,108,1.0712655925,0.409344177147182,0.906056560342258,0,"Rat #5"
"181",5,18,111,1.091924756,0.275605574978338,0.890862743694142,0,"Rat #5"
"182",5,18,114,0.711743772,NA,0.876060734956062,NA,"Rat #5"
"183",8,1,3,0.0874724404,0.0837793618248019,0.313583775856704,0,"Rat #8"
"184",8,1,6,0.431506483,0.0466162660028578,0.569782597304072,0,"Rat #8"
"185",8,1,9,0.6835626358,0.580096997331804,0.751652881275347,0,"Rat #8"
"186",8,1,12,0.6760713722,0.458391224289448,0.863516770476991,0,"Rat #8"
"187",8,1,15,0.4501950406,0.212927526643052,0.920274780824815,0,"Rat #8"
"188",8,1,18,0.7097059968,0.482138274382698,0.938376443585501,0,"Rat #8"
"189",8,1,21,0.5187402776,0.270051648522593,0.931494188946433,0,"Rat #8"
"190",8,1,24,0.5494722986,0.306588762456329,0.909554294441637,0,"Rat #8"
"191",8,1,27,0.4701393528,0.117585376968711,0.879236952086834,0,"Rat #8"
"192",8,1,30,0.4438017808,0.16218652691964,0.844829823692839,0,"Rat #8"
"193",8,1,33,0.445100401,0.151950030149338,0.808991200096904,0,"Rat #8"
"194",8,1,36,0.4421374496,0.172737994919064,0.773316343740665,0,"Rat #8"
"195",8,1,39,0.4316151342,0.14428768612472,0.738724239071342,0,"Rat #8"
"196",8,1,42,0.6262353414,0.187541332901792,0.705710839724749,0,"Rat #8"
"197",8,1,45,0.4412362076,0.143895887564799,0.674511268772458,0,"Rat #8"
"198",8,1,48,0.3078365878,0.131245977173513,0.645202470782145,0,"Rat #8"
"199",8,1,51,0.430341121,0.290675632271164,0.617767722196469,0,"Rat #8"
